minuto,fase_orbital,temp_painel,tensao_bateria,corrente_carga,temp_interna,roda_reacao,rotulo
0,0.0,20.457075619631645,27.953185701993057,2.0053303004001637,19.594025110225132,3030.1511632211486,0
1,0.06981317007977318,21.579065159124895,28.19343191496368,3.388886560714696,20.472182978552972,3052.143128144116,0
2,0.13962634015954636,27.388466336912632,27.9684939071376,3.396430819771493,19.09573863566811,3006.9422618271215,0
3,0.20943951023931953,30.766873161385988,28.25023753353267,3.3873545846109208,21.305808031974813,3079.1921222240667,0
4,0.2792526803190927,29.477128228784206,28.366205442568752,3.405239364518461,20.650721944703168,2947.1611737636445,0
5,0.3490658503988659,33.43763718936162,28.583786827615565,3.247110931142147,22.371607637282192,3027.392300817879,0
6,0.41887902047863906,38.49490954316193,28.250295778299797,3.44825409148696,21.51645132031956,2959.19114566148,0
7,0.4886921905584123,40.65185643684971,28.567978757623305,3.428158661669571,20.29417419506041,3042.34167633855,0
8,0.5585053606381855,43.82116515423779,28.473117823408522,3.3484406587193316,23.03023559847836,3024.514434229641,0
9,0.6283185307179586,45.17077046180092,28.78116670938221,3.5310092512609947,22.412989133300556,3072.054232670509,0
10,0.6981317007977318,50.244539398188515,28.887927612092266,3.5479778960236317,22.880043876043388,3019.988343628329,0
11,0.767944870877505,52.426314573798294,29.02666558092701,3.3886705571416584,22.42602406215939,2983.8397592775837,0
12,0.8377580409572781,53.540563192824564,28.811519372426616,3.471173169846749,25.285995429892072,2980.357191503159,0
13,0.9075712110370514,57.15134572275454,29.084696877181383,3.9317247453801714,23.96140303020665,2989.9929103594895,0
14,0.9773843811168246,58.00795477835494,29.19898032518761,3.9240866517204274,26.016773967306726,2979.571038350966,0
15,1.0471975511965976,57.682204475974885,28.792743439063006,3.289181961974053,24.77678161000486,3053.8843588338914,0
16,1.117010721276371,60.998858259586264,29.170404593573767,3.3171104866822883,24.729401789911424,3051.025531070469,0
17,1.1868238913561442,60.284949554261935,29.25639731354716,3.2881193446016006,26.860129826949866,2940.137302202306,0
18,1.2566370614359172,64.11521868524281,29.10245886159607,3.711410787994448,26.060212051440455,3001.534405723306,0
19,1.3264502315156903,63.588418815940464,28.982738834902428,3.420294140084861,26.362328839067164,3002.499660672006,0
20,1.3962634015954636,64.03905534023147,29.3232126670311,3.54793484871926,25.660691686287596,2968.748188727974,0
21,1.4660765716752369,63.73209097496639,29.013499950308265,3.8993934666561767,26.56987006419376,3017.5299996829535,0
22,1.53588974175501,66.80639922387036,29.17251627724628,3.4979070411379074,27.504854172714065,3058.43403351312,0
23,1.605702911834783,64.7407929927561,29.193250383752417,3.641249744351464,26.323334038845527,3035.6723593581305,0
24,1.6755160819145563,64.11099355832765,29.30075698219753,3.6040841498600784,27.106061970232084,3053.88273555768,0
25,1.7453292519943295,63.78814855981702,29.08777456968777,3.38235652966081,27.348651741855402,2971.2612860985737,0
26,1.8151424220741028,64.46177146074986,29.061667318207018,3.7118323463483716,27.858141509898736,3001.4603109106665,0
27,1.8849555921538759,63.34570932982803,29.156105141368652,3.3300598381799627,29.08033523474398,2969.374092829354,0
28,1.9547687622336491,62.34237237289942,29.263579197123107,3.767975957288835,27.71969559509694,3009.5772028232227,0
29,2.0245819323134224,61.091963587974334,29.42167035565697,3.382509806958176,27.441193299595547,3013.1780363642897,0
30,2.0943951023931953,62.18361457160543,28.813108304574513,3.404406455892781,30.195425876524098,3038.3935202160364,0
31,2.1642082724729685,56.69706824039996,29.042146389734036,3.2823024352746417,27.627293371719297,3052.5396741538784,0
32,2.234021442552742,54.69211981869519,28.782632650392923,3.3151481178366704,27.767723453183915,3027.5590865578306,0
33,2.303834612632515,52.22085805411092,29.044595477053885,3.414647135534293,27.55153835153624,2965.5932054863647,0
34,2.3736477827122884,52.18359580451811,28.69280836245441,3.013730288417878,27.505524380729074,2945.9130914270313,0
35,2.443460952792061,50.618900874975616,28.6701478988965,3.453333531764881,27.650366692395817,3020.800801228213,0
36,2.5132741228718345,46.27941516667899,28.616951673891368,3.3984051525516965,28.158798156972843,3060.0208443544484,0
37,2.5830872929516078,42.58613217505043,28.624473276271875,3.6580022197223663,27.55293310319613,2999.0083249172703,0
38,2.6529004630313806,39.889498501828236,28.611845514871877,3.5845961476713653,27.873522543113104,2938.904257514679,0
39,2.722713633111154,39.27903812014807,28.560639180732238,3.3584725137801406,27.604754989575213,3083.3902382683204,0
40,2.792526803190927,36.50578770646026,28.409559040063385,3.4082898481148187,26.670823011135894,3019.5761820064577,0
